community_num,num_games,num_games_zscore
0,35,-0.07279085870894283
1,4,-0.1042155954151979
2,2,-0.1062429977833434
3,512,0.4107446060937562
4,27,-0.08090046818152478
5,21,-0.08698267528596125
6,9,-0.09914708949483418
7,65,-0.04237982318676051
8,1924,1.8420906780044708
9,97,-0.009941385296432697
10,13,-0.0950922847585432
11,35,-0.07279085870894283
12,5,-0.10320189423112516
13,13,-0.0950922847585432
14,90,-0.017037293584941906
15,183,0.07723691653382331
16,1742,1.6575970625032312
17,11,-0.0971196871266887
18,20,-0.087996376470034
19,30,-0.07785936462930655
20,32,-0.07583196226116107
21,120,0.01337374193724042
22,14,-0.09407858357447046
23,16380,16.49615499496006
24,80,-0.027174305425669346
25,212,0.10663425087193289
26,55,-0.05251683502748795
27,168,0.06203139877273214
28,145,0.03871627153905902
29,830,0.7331015826288888
30,13,-0.0950922847585432
31,37,-0.07076345634079735
32,2,-0.1062429977833434
33,280,0.1755659313888795
34,14,-0.09407858357447046
35,33,-0.07481826107708832
36,7,-0.10117449186297967
37,16,-0.09205118120632497
38,1140,1.0473489496914394
39,89,-0.018050994769014648
40,7,-0.10117449186297967
41,41,-0.06670865160450637
42,54,-0.053530536211560696
43,19,-0.08901007765410673
44,5,-0.10320189423112516
45,224,0.11879866508080582
46,337,0.2333468988810259
47,102,-0.004872879376068975
48,39,-0.06873605397265185
49,6,-0.10218819304705241
50,14,-0.09407858357447046
51,11,-0.0971196871266887
52,11,-0.0971196871266887
53,2,-0.1062429977833434
54,4,-0.1042155954151979
55,82,-0.02514690305752386
56,9,-0.09914708949483418
57,44,-0.06366754805228814
58,200,0.09446983666305996
59,4,-0.1042155954151979
60,18,-0.09002377883817948
61,6,-0.10218819304705241
62,38,-0.0697497551567246
63,16,-0.09205118120632497
64,68,-0.039338719634542274
65,23,-0.08495527291781577
66,73,-0.03427021371417856
67,3,-0.10522929659927065
68,347,0.24348391072175335
69,261,0.15630560889149733
70,23,-0.08495527291781577
71,56,-0.051503133843415205
72,48,-0.05961274331599716
73,3,-0.10522929659927065
74,1207,1.1152669290243131
75,62,-0.04542092673897874
76,34,-0.07380455989301558
77,4,-0.1042155954151979
78,22,-0.0859689741018885
79,7,-0.10117449186297967
80,13,-0.0950922847585432
81,151,0.04479847864349549
82,26,-0.08191416936559753
83,3,-0.10522929659927065
84,3,-0.10522929659927065
85,5,-0.10320189423112516
86,9,-0.09914708949483418
87,37,-0.07076345634079735
88,38,-0.0697497551567246
89,11,-0.0971196871266887
90,55,-0.05251683502748795
91,9,-0.09914708949483418
92,17,-0.09103748002225223
93,26,-0.08191416936559753
94,3,-0.10522929659927065
95,22,-0.0859689741018885
96,2,-0.1062429977833434
97,14,-0.09407858357447046
98,52,-0.05555793857970618
99,2,-0.1062429977833434
100,13,-0.0950922847585432
101,14,-0.09407858357447046
102,228,0.12285346981709679
103,10,-0.09813338831076143
104,17,-0.09103748002225223
105,12,-0.09610598594261595
106,4,-0.1042155954151979
107,52,-0.05555793857970618
108,37,-0.07076345634079735
109,33,-0.07481826107708832
110,112,0.005264132464658467
111,9,-0.09914708949483418
112,16,-0.09205118120632497
113,2,-0.1062429977833434
114,67,-0.04035242081861502
115,2,-0.1062429977833434
116,16,-0.09205118120632497
117,8,-0.10016079067890693
118,9,-0.09914708949483418
119,13,-0.0950922847585432
120,76,-0.031229110161960325
121,11,-0.0971196871266887
122,9,-0.09914708949483418
123,9,-0.09914708949483418
124,3,-0.10522929659927065
125,20,-0.087996376470034
126,57,-0.05048943265934246
127,3,-0.10522929659927065
128,21,-0.08698267528596125
129,87,-0.02007839713716014
130,7,-0.10117449186297967
131,7,-0.10117449186297967
132,2,-0.1062429977833434
133,32,-0.07583196226116107
134,142,0.03567516798684079
135,12,-0.09610598594261595
136,9,-0.09914708949483418
137,3,-0.10522929659927065
138,3,-0.10522929659927065
139,9,-0.09914708949483418
140,41,-0.06670865160450637
141,8,-0.10016079067890693
142,4,-0.1042155954151979
143,18,-0.09002377883817948
144,9,-0.09914708949483418
145,12,-0.09610598594261595
146,103,-0.003859178191996231
147,24,-0.08394157173374302
148,5,-0.10320189423112516
149,2,-0.1062429977833434
150,6,-0.10218819304705241
151,15,-0.09306488239039772
152,4,-0.1042155954151979
153,2,-0.1062429977833434
154,3,-0.10522929659927065
155,2,-0.1062429977833434
156,3,-0.10522929659927065
157,3,-0.10522929659927065
158,2,-0.1062429977833434
159,10,-0.09813338831076143
160,5,-0.10320189423112516
161,2,-0.1062429977833434
162,2,-0.1062429977833434
163,6,-0.10218819304705241
164,2,-0.1062429977833434
165,9,-0.09914708949483418
166,3,-0.10522929659927065
167,3,-0.10522929659927065
168,2,-0.1062429977833434
169,6,-0.10218819304705241
170,4,-0.1042155954151979
171,2,-0.1062429977833434
172,2,-0.1062429977833434
173,5,-0.10320189423112516
174,2,-0.1062429977833434
175,22,-0.0859689741018885
176,4,-0.1042155954151979
177,5,-0.10320189423112516
178,3,-0.10522929659927065
179,4,-0.1042155954151979
180,5,-0.10320189423112516
181,2,-0.1062429977833434
182,7,-0.10117449186297967
183,4,-0.1042155954151979
184,3,-0.10522929659927065
185,3,-0.10522929659927065
186,3,-0.10522929659927065
187,3,-0.10522929659927065
188,3,-0.10522929659927065
189,6,-0.10218819304705241
190,4,-0.1042155954151979
191,12,-0.09610598594261595
192,5,-0.10320189423112516
193,3,-0.10522929659927065
194,2,-0.1062429977833434
195,2,-0.1062429977833434
196,7,-0.10117449186297967
197,2,-0.1062429977833434
198,3,-0.10522929659927065
199,3,-0.10522929659927065
200,8,-0.10016079067890693
201,3,-0.10522929659927065
202,9,-0.09914708949483418
203,3,-0.10522929659927065
204,4,-0.1042155954151979
205,5,-0.10320189423112516
206,4,-0.1042155954151979
207,5,-0.10320189423112516
208,2,-0.1062429977833434
209,4,-0.1042155954151979
210,2,-0.1062429977833434
211,6,-0.10218819304705241
212,7,-0.10117449186297967
213,6,-0.10218819304705241
214,4,-0.1042155954151979
215,2,-0.1062429977833434
216,3,-0.10522929659927065
217,2,-0.1062429977833434
218,2,-0.1062429977833434
219,3,-0.10522929659927065
220,4,-0.1042155954151979
221,2,-0.1062429977833434
222,3,-0.10522929659927065
223,2,-0.1062429977833434
224,5,-0.10320189423112516
225,2,-0.1062429977833434
226,2,-0.1062429977833434
227,2,-0.1062429977833434
228,2,-0.1062429977833434
229,2,-0.1062429977833434
230,3,-0.10522929659927065
231,3,-0.10522929659927065
232,2,-0.1062429977833434
233,2,-0.1062429977833434
234,12,-0.09610598594261595
235,2,-0.1062429977833434
236,3,-0.10522929659927065
237,2,-0.1062429977833434
238,3,-0.10522929659927065
239,2,-0.1062429977833434
240,3,-0.10522929659927065
241,2,-0.1062429977833434
242,2,-0.1062429977833434
243,3,-0.10522929659927065
244,4,-0.1042155954151979
245,2,-0.1062429977833434
246,9,-0.09914708949483418
247,2,-0.1062429977833434
248,3,-0.10522929659927065
249,2,-0.1062429977833434
250,3,-0.10522929659927065
251,2,-0.1062429977833434
252,2,-0.1062429977833434
253,4,-0.1042155954151979
254,2,-0.1062429977833434
255,2,-0.1062429977833434
256,2,-0.1062429977833434
257,2,-0.1062429977833434
258,2,-0.1062429977833434
259,3,-0.10522929659927065
260,3,-0.10522929659927065
261,2,-0.1062429977833434
262,2,-0.1062429977833434
263,2,-0.1062429977833434
264,2,-0.1062429977833434
265,3,-0.10522929659927065
266,2,-0.1062429977833434
267,2,-0.1062429977833434
268,2,-0.1062429977833434
269,3,-0.10522929659927065
270,2,-0.1062429977833434
271,2,-0.1062429977833434
272,2,-0.1062429977833434
273,2,-0.1062429977833434
274,3,-0.10522929659927065
275,2,-0.1062429977833434
276,2,-0.1062429977833434
277,2,-0.1062429977833434
278,2,-0.1062429977833434
279,2,-0.1062429977833434
280,2,-0.1062429977833434
281,3,-0.10522929659927065
282,2,-0.1062429977833434
283,2,-0.1062429977833434
284,3,-0.10522929659927065
