k,Recall,Precision,F1-Score
1,0.278021349599695,0.5342490842490842,0.3657221664994985
2,0.41174227983225314,0.4881907560176291,0.44671940437412755
3,0.4970453678993519,0.4667919799498747,0.481443870014771
4,0.5537552420892108,0.45210489456073455,0.4977937711519513
5,0.5949294700724361,0.441598868058012,0.5069232955699029
6,0.6219977125428898,0.4334772500830289,0.5109014757114339
7,0.6473503621807091,0.4288420255082713,0.5159134067603494
8,0.6707014868471216,0.4256335813222041,0.520777058279371
9,0.6899542508577964,0.42382903981264636,0.5250979254315973
10,0.7075867327487609,0.4225143702691936,0.5290952499732745
11,0.7235036218070912,0.4221913236929922,0.5332256251756111
12,0.7354174609226077,0.4206050695012265,0.5351458196067552
13,0.7474266107510484,0.4200546360276394,0.5378416378039163
14,0.7573389248951582,0.4196461579086348,0.5400482550039081
15,0.765821578345406,0.4191663623558871,0.5417888810222177
16,0.7731605032405643,0.4181443298969072,0.5427539140907266
17,0.7804041174227984,0.41777641716414105,0.5442158785018776
18,0.7858368280594739,0.41713042598401295,0.5449798400423028
19,0.7903164315669081,0.4166834170854271,0.5456699131350354
20,0.7934616850934045,0.4160627717527113,0.5458837415166716
